"學號","院別碼","學院名","系所碼","系所名","score","入學管道碼","入學管道"
410011039,"CG","文學院","1","中國文學系",33,"B2B","申請入學外籍生"
410011053,"CG","文學院","1","中國文學系",84,"B6C","繁星推薦一般考生"
410011065,"CG","文學院","1","中國文學系",86,"B6C","繁星推薦一般考生"
410011077,"CG","文學院","1","中國文學系",87,"B6C","繁星推薦一般考生"
410011089,"CG","文學院","1","中國文學系",73,"B6C","繁星推薦一般考生"
410011091,"CG","文學院","1","中國文學系",80,"B6C","繁星推薦一般考生"
410011106,"CG","文學院","1","中國文學系",76,"B6C","繁星推薦一般考生"
410011118,"CG","文學院","1","中國文學系",72,"B6C","繁星推薦一般考生"
410011120,"CG","文學院","1","中國文學系",69,"B6C","繁星推薦一般考生"
410011132,"CG","文學院","1","中國文學系",80,"B6C","繁星推薦一般考生"
410011144,"CG","文學院","1","中國文學系",78,"B2D","申請入學學士班"
410011156,"CG","文學院","1","中國文學系",81,"B2D","申請入學學士班"
410011168,"CG","文學院","1","中國文學系",77,"B2D","申請入學學士班"
410011170,"CG","文學院","1","中國文學系",74,"B2D","申請入學學士班"
410011182,"CG","文學院","1","中國文學系",79,"B2D","申請入學學士班"
410011194,"CG","文學院","1","中國文學系",84,"B2D","申請入學學士班"
410011209,"CG","文學院","1","中國文學系",88,"B2D","申請入學學士班"
410011211,"CG","文學院","1","中國文學系",75,"B2D","申請入學學士班"
410011223,"CG","文學院","1","中國文學系",76,"B2D","申請入學學士班"
410011235,"CG","文學院","1","中國文學系",82,"B2D","申請入學學士班"
410011247,"CG","文學院","1","中國文學系",63,"B2D","申請入學學士班"
410011259,"CG","文學院","1","中國文學系",87,"B2D","申請入學學士班"
410011261,"CG","文學院","1","中國文學系",79,"B2D","申請入學學士班"
410011273,"CG","文學院","1","中國文學系",82,"B2D","申請入學學士班"
410011285,"CG","文學院","1","中國文學系",81,"B2D","申請入學學士班"
410011297,"CG","文學院","1","中國文學系",80,"B2D","申請入學學士班"
410011302,"CG","文學院","1","中國文學系",65,"B2D","申請入學學士班"
410011314,"CG","文學院","1","中國文學系",75,"B2D","申請入學學士班"
410011326,"CG","文學院","1","中國文學系",62,"B2D","申請入學學士班"
410011338,"CG","文學院","1","中國文學系",75,"B2D","申請入學學士班"
410011340,"CG","文學院","1","中國文學系",58,"B2D","申請入學學士班"
410011352,"CG","文學院","1","中國文學系",78,"B2D","申請入學學士班"
410011364,"CG","文學院","1","中國文學系",68,"B2D","申請入學學士班"
410011376,"CG","文學院","1","中國文學系",67,"B2D","申請入學學士班"
410011388,"CG","文學院","1","中國文學系",73,"B2D","申請入學學士班"
410011390,"CG","文學院","1","中國文學系",79,"B2D","申請入學學士班"
410011405,"CG","文學院","1","中國文學系",79,"B2D","申請入學學士班"
410011417,"CG","文學院","1","中國文學系",75,"B2D","申請入學學士班"
410011429,"CG","文學院","1","中國文學系",56,"B2D","申請入學學士班"
410011431,"CG","文學院","1","中國文學系",59,"B2D","申請入學學士班"
410011455,"CG","文學院","1","中國文學系",86,"B1D","學士班指考"
410011467,"CG","文學院","1","中國文學系",78,"B1D","學士班指考"
