學號,院別碼,學院名,departmentNum,系所名,score,入學管道碼,入學管道,scoreStratified
410011039,CG,文學院,1,中國文學系,26,B2B,申請入學外籍生,0~59分
410011053,CG,文學院,1,中國文學系,84,B6C,繁星推薦一般考生,80~89分
410011065,CG,文學院,1,中國文學系,86,B6C,繁星推薦一般考生,80~89分
410011077,CG,文學院,1,中國文學系,85,B6C,繁星推薦一般考生,80~89分
410011089,CG,文學院,1,中國文學系,75,B6C,繁星推薦一般考生,70~79分
410011091,CG,文學院,1,中國文學系,80,B6C,繁星推薦一般考生,80~89分
410011106,CG,文學院,1,中國文學系,76,B6C,繁星推薦一般考生,70~79分
410011118,CG,文學院,1,中國文學系,72,B6C,繁星推薦一般考生,70~79分
410011120,CG,文學院,1,中國文學系,69,B6C,繁星推薦一般考生,60~69分
410011132,CG,文學院,1,中國文學系,80,B6C,繁星推薦一般考生,80~89分
410011144,CG,文學院,1,中國文學系,77,B2D,申請入學學士班,70~79分
410011156,CG,文學院,1,中國文學系,80,B2D,申請入學學士班,80~89分
410011168,CG,文學院,1,中國文學系,77,B2D,申請入學學士班,70~79分
410011170,CG,文學院,1,中國文學系,74,B2D,申請入學學士班,70~79分
410011182,CG,文學院,1,中國文學系,79,B2D,申請入學學士班,70~79分
410011194,CG,文學院,1,中國文學系,84,B2D,申請入學學士班,80~89分
410011209,CG,文學院,1,中國文學系,88,B2D,申請入學學士班,80~89分
410011211,CG,文學院,1,中國文學系,75,B2D,申請入學學士班,70~79分
410011223,CG,文學院,1,中國文學系,76,B2D,申請入學學士班,70~79分
410011235,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410011247,CG,文學院,1,中國文學系,71,B2D,申請入學學士班,70~79分
410011259,CG,文學院,1,中國文學系,87,B2D,申請入學學士班,80~89分
410011261,CG,文學院,1,中國文學系,79,B2D,申請入學學士班,70~79分
410011273,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410011285,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410011297,CG,文學院,1,中國文學系,80,B2D,申請入學學士班,80~89分
410011302,CG,文學院,1,中國文學系,67,B2D,申請入學學士班,60~69分
410011314,CG,文學院,1,中國文學系,75,B2D,申請入學學士班,70~79分
410011326,CG,文學院,1,中國文學系,67,B2D,申請入學學士班,60~69分
410011338,CG,文學院,1,中國文學系,75,B2D,申請入學學士班,70~79分
410011340,CG,文學院,1,中國文學系,62,B2D,申請入學學士班,60~69分
410011352,CG,文學院,1,中國文學系,78,B2D,申請入學學士班,70~79分
410011364,CG,文學院,1,中國文學系,68,B2D,申請入學學士班,60~69分
410011376,CG,文學院,1,中國文學系,67,B2D,申請入學學士班,60~69分
410011388,CG,文學院,1,中國文學系,77,B2D,申請入學學士班,70~79分
410011390,CG,文學院,1,中國文學系,79,B2D,申請入學學士班,70~79分
410011405,CG,文學院,1,中國文學系,79,B2D,申請入學學士班,70~79分
410011417,CG,文學院,1,中國文學系,73,B2D,申請入學學士班,70~79分
410011429,CG,文學院,1,中國文學系,55,B2D,申請入學學士班,0~59分
410011431,CG,文學院,1,中國文學系,61,B2D,申請入學學士班,60~69分
410011455,CG,文學院,1,中國文學系,86,B1D,學士班指考,80~89分
410011467,CG,文學院,1,中國文學系,78,B1D,學士班指考,70~79分
410011479,CG,文學院,1,中國文學系,73,B1D,學士班指考,70~79分
410011481,CG,文學院,1,中國文學系,46,B1D,學士班指考,0~59分
410011508,CG,文學院,1,中國文學系,74,B1D,學士班指考,70~79分
410011510,CG,文學院,1,中國文學系,66,B1D,學士班指考,60~69分
410011522,CG,文學院,1,中國文學系,69,B1D,學士班指考,60~69分
410011534,CG,文學院,1,中國文學系,69,B1D,學士班指考,60~69分
410011546,CG,文學院,1,中國文學系,79,B1D,學士班指考,70~79分
410011558,CG,文學院,1,中國文學系,1,B1D,學士班指考,0~59分
410011560,CG,文學院,1,中國文學系,66,B1D,學士班指考,60~69分
410011572,CG,文學院,1,中國文學系,83,B1D,學士班指考,80~89分
410011584,CG,文學院,1,中國文學系,21,B1D,學士班指考,0~59分
410011596,CG,文學院,1,中國文學系,72,B1D,學士班指考,70~79分
410011601,CG,文學院,1,中國文學系,75,B1D,學士班指考,70~79分
410011613,CG,文學院,1,中國文學系,77,B1D,學士班指考,70~79分
410011625,CG,文學院,1,中國文學系,32,B1D,學士班指考,0~59分
410011637,CG,文學院,1,中國文學系,81,B1D,學士班指考,80~89分
410011649,CG,文學院,1,中國文學系,69,B1D,學士班指考,60~69分
410012033,CG,文學院,1,中國文學系,21,B2B,申請入學外籍生,0~59分
410012045,CG,文學院,1,中國文學系,65,B3A,分發入學僑生,60~69分
410012057,CG,文學院,1,中國文學系,80,B6C,繁星推薦一般考生,80~89分
410012069,CG,文學院,1,中國文學系,76,B6C,繁星推薦一般考生,70~79分
410012071,CG,文學院,1,中國文學系,83,B6C,繁星推薦一般考生,80~89分
410012083,CG,文學院,1,中國文學系,83,B6C,繁星推薦一般考生,80~89分
410012095,CG,文學院,1,中國文學系,77,B6C,繁星推薦一般考生,70~79分
410012100,CG,文學院,1,中國文學系,80,B6C,繁星推薦一般考生,80~89分
410012112,CG,文學院,1,中國文學系,81,B6C,繁星推薦一般考生,80~89分
410012124,CG,文學院,1,中國文學系,81,B6C,繁星推薦一般考生,80~89分
410012136,CG,文學院,1,中國文學系,34,B6C,繁星推薦一般考生,0~59分
410012150,CG,文學院,1,中國文學系,67,B2D,申請入學學士班,60~69分
410012162,CG,文學院,1,中國文學系,78,B2D,申請入學學士班,70~79分
410012174,CG,文學院,1,中國文學系,90,B2D,申請入學學士班,90~100分
410012186,CG,文學院,1,中國文學系,84,B2D,申請入學學士班,80~89分
410012198,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410012203,CG,文學院,1,中國文學系,76,B2D,申請入學學士班,70~79分
410012215,CG,文學院,1,中國文學系,89,B2D,申請入學學士班,80~89分
410012227,CG,文學院,1,中國文學系,70,B2D,申請入學學士班,70~79分
410012239,CG,文學院,1,中國文學系,70,B2D,申請入學學士班,70~79分
410012253,CG,文學院,1,中國文學系,74,B2D,申請入學學士班,70~79分
410012265,CG,文學院,1,中國文學系,82,B2D,申請入學學士班,80~89分
410012277,CG,文學院,1,中國文學系,73,B2D,申請入學學士班,70~79分
410012289,CG,文學院,1,中國文學系,83,B2D,申請入學學士班,80~89分
410012291,CG,文學院,1,中國文學系,77,B2D,申請入學學士班,70~79分
410012306,CG,文學院,1,中國文學系,73,B2D,申請入學學士班,70~79分
410012318,CG,文學院,1,中國文學系,83,B2D,申請入學學士班,80~89分
410012320,CG,文學院,1,中國文學系,78,B2D,申請入學學士班,70~79分
410012332,CG,文學院,1,中國文學系,73,B2D,申請入學學士班,70~79分
410012344,CG,文學院,1,中國文學系,76,B2D,申請入學學士班,70~79分
410012356,CG,文學院,1,中國文學系,83,B2D,申請入學學士班,80~89分
410012368,CG,文學院,1,中國文學系,70,B2D,申請入學學士班,70~79分
410012370,CG,文學院,1,中國文學系,82,B2D,申請入學學士班,80~89分
410012382,CG,文學院,1,中國文學系,71,B2D,申請入學學士班,70~79分
410012394,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410012409,CG,文學院,1,中國文學系,62,B2D,申請入學學士班,60~69分
410012411,CG,文學院,1,中國文學系,81,B2D,申請入學學士班,80~89分
410012423,CG,文學院,1,中國文學系,75,B2D,申請入學學士班,70~79分
410012447,CG,文學院,1,中國文學系,80,B3A,分發入學僑生,80~89分
410012459,CG,文學院,1,中國文學系,70,B1D,學士班指考,70~79分
410012461,CG,文學院,1,中國文學系,63,B1D,學士班指考,60~69分
410012473,CG,文學院,1,中國文學系,32,B1D,學士班指考,0~59分
410012485,CG,文學院,1,中國文學系,70,B1D,學士班指考,70~79分
410012502,CG,文學院,1,中國文學系,89,B1D,學士班指考,80~89分
410012514,CG,文學院,1,中國文學系,75,B1D,學士班指考,70~79分
410012538,CG,文學院,1,中國文學系,81,B1D,學士班指考,80~89分
410012540,CG,文學院,1,中國文學系,83,B1D,學士班指考,80~89分
410012552,CG,文學院,1,中國文學系,68,B1D,學士班指考,60~69分
410012564,CG,文學院,1,中國文學系,69,B1D,學士班指考,60~69分
410012576,CG,文學院,1,中國文學系,73,B1D,學士班指考,70~79分
410012588,CG,文學院,1,中國文學系,23,B1D,學士班指考,0~59分
410012590,CG,文學院,1,中國文學系,49,B1D,學士班指考,0~59分
410012605,CG,文學院,1,中國文學系,83,B1D,學士班指考,80~89分
410012617,CG,文學院,1,中國文學系,65,B1D,學士班指考,60~69分
410012629,CG,文學院,1,中國文學系,82,B1D,學士班指考,80~89分
410012631,CG,文學院,1,中國文學系,77,B1D,學士班指考,70~79分
410012643,CG,文學院,1,中國文學系,56,B1D,學士班指考,0~59分
410021010,CG,文學院,2,歷史學系,79,B3A,分發入學僑生,70~79分
410021022,CG,文學院,2,歷史學系,70,B2A,申請入學僑生,70~79分
410021046,CG,文學院,2,歷史學系,81,B6C,繁星推薦一般考生,80~89分
410021058,CG,文學院,2,歷史學系,87,B6C,繁星推薦一般考生,80~89分
410021060,CG,文學院,2,歷史學系,75,B6C,繁星推薦一般考生,70~79分
410021072,CG,文學院,2,歷史學系,83,B6C,繁星推薦一般考生,80~89分
410021084,CG,文學院,2,歷史學系,81,B6C,繁星推薦一般考生,80~89分
410021096,CG,文學院,2,歷史學系,78,B6C,繁星推薦一般考生,70~79分
410021101,CG,文學院,2,歷史學系,82,B6C,繁星推薦一般考生,80~89分
410021113,CG,文學院,2,歷史學系,92,B2D,申請入學學士班,90~100分
410021125,CG,文學院,2,歷史學系,91,B2D,申請入學學士班,90~100分
410021137,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410021149,CG,文學院,2,歷史學系,80,B2D,申請入學學士班,80~89分
410021151,CG,文學院,2,歷史學系,88,B2D,申請入學學士班,80~89分
410021163,CG,文學院,2,歷史學系,77,B2D,申請入學學士班,70~79分
410021175,CG,文學院,2,歷史學系,87,B2D,申請入學學士班,80~89分
410021187,CG,文學院,2,歷史學系,86,B2D,申請入學學士班,80~89分
410021199,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410021204,CG,文學院,2,歷史學系,89,B2D,申請入學學士班,80~89分
410021216,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410021228,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410021230,CG,文學院,2,歷史學系,85,B2D,申請入學學士班,80~89分
410021242,CG,文學院,2,歷史學系,86,B2D,申請入學學士班,80~89分
410021254,CG,文學院,2,歷史學系,80,B2D,申請入學學士班,80~89分
410021266,CG,文學院,2,歷史學系,87,B2D,申請入學學士班,80~89分
410021278,CG,文學院,2,歷史學系,64,B2D,申請入學學士班,60~69分
410021280,CG,文學院,2,歷史學系,61,B2D,申請入學學士班,60~69分
410021292,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410021307,CG,文學院,2,歷史學系,81,B2D,申請入學學士班,80~89分
410021319,CG,文學院,2,歷史學系,85,B2D,申請入學學士班,80~89分
410021321,CG,文學院,2,歷史學系,75,B2D,申請入學學士班,70~79分
410021333,CG,文學院,2,歷史學系,61,B2D,申請入學學士班,60~69分
410021345,CG,文學院,2,歷史學系,63,B2D,申請入學學士班,60~69分
410021357,CG,文學院,2,歷史學系,75,B2D,申請入學學士班,70~79分
410021395,CG,文學院,2,歷史學系,59,B1D,學士班指考,0~59分
410021400,CG,文學院,2,歷史學系,31,B1D,學士班指考,0~59分
410021424,CG,文學院,2,歷史學系,71,B1D,學士班指考,70~79分
410021436,CG,文學院,2,歷史學系,72,B1D,學士班指考,70~79分
410021448,CG,文學院,2,歷史學系,79,B1D,學士班指考,70~79分
410021450,CG,文學院,2,歷史學系,49,B1D,學士班指考,0~59分
410021462,CG,文學院,2,歷史學系,81,B1D,學士班指考,80~89分
410021474,CG,文學院,2,歷史學系,65,B1D,學士班指考,60~69分
410021486,CG,文學院,2,歷史學系,81,B1D,學士班指考,80~89分
410021498,CG,文學院,2,歷史學系,74,B1D,學士班指考,70~79分
410021503,CG,文學院,2,歷史學系,77,B1D,學士班指考,70~79分
410021515,CG,文學院,2,歷史學系,84,B1D,學士班指考,80~89分
410021527,CG,文學院,2,歷史學系,74,B1D,學士班指考,70~79分
410021539,CG,文學院,2,歷史學系,84,B1D,學士班指考,80~89分
410021541,CG,文學院,2,歷史學系,85,B1D,學士班指考,80~89分
410021565,CG,文學院,2,歷史學系,79,B1D,學士班指考,70~79分
410021577,CG,文學院,2,歷史學系,80,B1D,學士班指考,80~89分
410021589,CG,文學院,2,歷史學系,73,B1D,學士班指考,70~79分
410021591,CG,文學院,2,歷史學系,85,B1D,學士班指考,80~89分
410021606,CG,文學院,2,歷史學系,87,B1D,學士班指考,80~89分
410021618,CG,文學院,2,歷史學系,72,B1D,學士班指考,70~79分
410021620,CG,文學院,2,歷史學系,87,B1D,學士班指考,80~89分
410021632,CG,文學院,2,歷史學系,60,B1D,學士班指考,60~69分
410022038,CG,文學院,2,歷史學系,49,B3A,分發入學僑生,0~59分
410022040,CG,文學院,2,歷史學系,71,B6C,繁星推薦一般考生,70~79分
410022064,CG,文學院,2,歷史學系,85,B6C,繁星推薦一般考生,80~89分
410022076,CG,文學院,2,歷史學系,46,B6C,繁星推薦一般考生,0~59分
410022088,CG,文學院,2,歷史學系,79,B6C,繁星推薦一般考生,70~79分
410022090,CG,文學院,2,歷史學系,82,B6C,繁星推薦一般考生,80~89分
410022117,CG,文學院,2,歷史學系,79,B2D,申請入學學士班,70~79分
410022129,CG,文學院,2,歷史學系,85,B2D,申請入學學士班,80~89分
410022131,CG,文學院,2,歷史學系,80,B2D,申請入學學士班,80~89分
410022155,CG,文學院,2,歷史學系,83,B2D,申請入學學士班,80~89分
410022167,CG,文學院,2,歷史學系,54,B2D,申請入學學士班,0~59分
410022179,CG,文學院,2,歷史學系,80,B2D,申請入學學士班,80~89分
410022181,CG,文學院,2,歷史學系,75,B2D,申請入學學士班,70~79分
410022193,CG,文學院,2,歷史學系,50,B2D,申請入學學士班,0~59分
410022208,CG,文學院,2,歷史學系,72,B2D,申請入學學士班,70~79分
410022210,CG,文學院,2,歷史學系,73,B2D,申請入學學士班,70~79分
410022222,CG,文學院,2,歷史學系,81,B2D,申請入學學士班,80~89分
410022234,CG,文學院,2,歷史學系,68,B2D,申請入學學士班,60~69分
410022246,CG,文學院,2,歷史學系,82,B2D,申請入學學士班,80~89分
410022258,CG,文學院,2,歷史學系,74,B2D,申請入學學士班,70~79分
410022260,CG,文學院,2,歷史學系,75,B2D,申請入學學士班,70~79分
410022272,CG,文學院,2,歷史學系,81,B2D,申請入學學士班,80~89分
410022296,CG,文學院,2,歷史學系,74,B2D,申請入學學士班,70~79分
410022301,CG,文學院,2,歷史學系,77,B2D,申請入學學士班,70~79分
410022313,CG,文學院,2,歷史學系,79,B2D,申請入學學士班,70~79分
410022325,CG,文學院,2,歷史學系,79,B2D,申請入學學士班,70~79分
410022337,CG,文學院,2,歷史學系,72,B1D,學士班指考,70~79分
410022349,CG,文學院,2,歷史學系,14,B2D,申請入學學士班,0~59分
410022351,CG,文學院,2,歷史學系,79,B2D,申請入學學士班,70~79分
410022363,CG,文學院,2,歷史學系,78,B3A,分發入學僑生,70~79分
410022375,CG,文學院,2,歷史學系,52,B3A,分發入學僑生,0~59分
410022387,CG,文學院,2,歷史學系,68,B3A,分發入學僑生,60~69分
410022399,CG,文學院,2,歷史學系,79,B1D,學士班指考,70~79分
410022404,CG,文學院,2,歷史學系,83,B1D,學士班指考,80~89分
410022416,CG,文學院,2,歷史學系,74,B1D,學士班指考,70~79分
410022428,CG,文學院,2,歷史學系,81,B1D,學士班指考,80~89分
410022430,CG,文學院,2,歷史學系,74,B1D,學士班指考,70~79分
410022442,CG,文學院,2,歷史學系,70,B1D,學士班指考,70~79分
410022454,CG,文學院,2,歷史學系,90,B1D,學士班指考,90~100分
410022466,CG,文學院,2,歷史學系,84,B1D,學士班指考,80~89分
410022478,CG,文學院,2,歷史學系,55,B1D,學士班指考,0~59分
410022480,CG,文學院,2,歷史學系,61,B1D,學士班指考,60~69分
410022492,CG,文學院,2,歷史學系,55,B1D,學士班指考,0~59分
410022507,CG,文學院,2,歷史學系,65,B1D,學士班指考,60~69分
410022519,CG,文學院,2,歷史學系,73,B1D,學士班指考,70~79分
410022521,CG,文學院,2,歷史學系,32,B1D,學士班指考,0~59分
410022533,CG,文學院,2,歷史學系,31,B1D,學士班指考,0~59分
410022545,CG,文學院,2,歷史學系,84,B1D,學士班指考,80~89分
410022557,CG,文學院,2,歷史學系,82,B1D,學士班指考,80~89分
410022569,CG,文學院,2,歷史學系,80,B1D,學士班指考,80~89分
410022571,CG,文學院,2,歷史學系,89,B1D,學士班指考,80~89分
410022583,CG,文學院,2,歷史學系,88,B1D,學士班指考,80~89分
410022595,CG,文學院,2,歷史學系,75,B1D,學士班指考,70~79分
410022600,CG,文學院,2,歷史學系,65,B1D,學士班指考,60~69分
410022612,CG,文學院,2,歷史學系,9,B1D,學士班指考,0~59分
410022624,CG,文學院,2,歷史學系,78,B1D,學士班指考,70~79分
410031015,CG,文學院,3,哲學系,17,B5C,身心障礙甄試入學,0~59分
410031027,CG,文學院,3,哲學系,84,B3A,分發入學僑生,80~89分
410031039,CG,文學院,3,哲學系,84,B6C,繁星推薦一般考生,80~89分
410031041,CG,文學院,3,哲學系,76,B6C,繁星推薦一般考生,70~79分
410031053,CG,文學院,3,哲學系,83,B6C,繁星推薦一般考生,80~89分
410031065,CG,文學院,3,哲學系,56,B6C,繁星推薦一般考生,0~59分
410031077,CG,文學院,3,哲學系,82,B6C,繁星推薦一般考生,80~89分
410031089,CG,文學院,3,哲學系,81,B2D,申請入學學士班,80~89分
410031091,CG,文學院,3,哲學系,75,B2D,申請入學學士班,70~79分
410031106,CG,文學院,3,哲學系,75,B2D,申請入學學士班,70~79分
410031118,CG,文學院,3,哲學系,81,B2D,申請入學學士班,80~89分
410031132,CG,文學院,3,哲學系,89,B2D,申請入學學士班,80~89分
410031144,CG,文學院,3,哲學系,71,B2D,申請入學學士班,70~79分
410031156,CG,文學院,3,哲學系,89,B2D,申請入學學士班,80~89分
410031168,CG,文學院,3,哲學系,85,B2D,申請入學學士班,80~89分
410031170,CG,文學院,3,哲學系,79,B2D,申請入學學士班,70~79分
410031194,CG,文學院,3,哲學系,69,B2D,申請入學學士班,60~69分
410031209,CG,文學院,3,哲學系,79,B2D,申請入學學士班,70~79分
410031211,CG,文學院,3,哲學系,83,B2D,申請入學學士班,80~89分
410031223,CG,文學院,3,哲學系,73,B2D,申請入學學士班,70~79分
410031235,CG,文學院,3,哲學系,65,B2D,申請入學學士班,60~69分
410031247,CG,文學院,3,哲學系,53,B2D,申請入學學士班,0~59分
410031259,CG,文學院,3,哲學系,80,B2D,申請入學學士班,80~89分
410031261,CG,文學院,3,哲學系,65,B2D,申請入學學士班,60~69分
410031273,CG,文學院,3,哲學系,62,B2D,申請入學學士班,60~69分
410031285,CG,文學院,3,哲學系,67,B2D,申請入學學士班,60~69分
410031297,CG,文學院,3,哲學系,63,B2D,申請入學學士班,60~69分
410031302,CG,文學院,3,哲學系,73,B2D,申請入學學士班,70~79分
410031314,CG,文學院,3,哲學系,74,B2D,申請入學學士班,70~79分
410031326,CG,文學院,3,哲學系,70,B2D,申請入學學士班,70~79分
410031338,CG,文學院,3,哲學系,75,B2D,申請入學學士班,70~79分
410031340,CG,文學院,3,哲學系,83,B2D,申請入學學士班,80~89分
410031352,CG,文學院,3,哲學系,59,B2E,申請入學原住民,0~59分
410031364,CG,文學院,3,哲學系,59,B3A,分發入學僑生,0~59分
410031390,CG,文學院,3,哲學系,74,B1D,學士班指考,70~79分
410031405,CG,文學院,3,哲學系,73,B1D,學士班指考,70~79分
410031417,CG,文學院,3,哲學系,33,B1D,學士班指考,0~59分
410031429,CG,文學院,3,哲學系,32,B1D,學士班指考,0~59分
410031431,CG,文學院,3,哲學系,80,B1D,學士班指考,80~89分
410031443,CG,文學院,3,哲學系,61,B1D,學士班指考,60~69分
410031455,CG,文學院,3,哲學系,58,B1D,學士班指考,0~59分
410031467,CG,文學院,3,哲學系,80,B1D,學士班指考,80~89分
410031479,CG,文學院,3,哲學系,46,B1D,學士班指考,0~59分
410031481,CG,文學院,3,哲學系,76,B1D,學士班指考,70~79分
410031493,CG,文學院,3,哲學系,69,B1D,學士班指考,60~69分
410031508,CG,文學院,3,哲學系,15,B1D,學士班指考,0~59分
410031510,CG,文學院,3,哲學系,84,B1D,學士班指考,80~89分
410031522,CG,文學院,3,哲學系,57,B1D,學士班指考,0~59分
410031534,CG,文學院,3,哲學系,76,B1D,學士班指考,70~79分
410031546,CG,文學院,3,哲學系,64,B1D,學士班指考,60~69分
410031558,CG,文學院,3,哲學系,88,B1D,學士班指考,80~89分
410031560,CG,文學院,3,哲學系,79,B1D,學士班指考,70~79分
410031572,CG,文學院,3,哲學系,67,B1D,學士班指考,60~69分
410031596,CG,文學院,3,哲學系,73,B1D,學士班指考,70~79分
410031601,CG,文學院,3,哲學系,64,B1D,學士班指考,60~69分
410031613,CG,文學院,3,哲學系,88,B1D,學士班指考,80~89分
410031625,CG,文學院,3,哲學系,82,B1D,學士班指考,80~89分
410031637,CG,文學院,3,哲學系,81,B1D,學士班指考,80~89分
410032019,CG,文學院,3,哲學系,12,B5C,身心障礙甄試入學,0~59分
410032021,CG,文學院,3,哲學系,86,B6C,繁星推薦一般考生,80~89分
410032033,CG,文學院,3,哲學系,79,B6C,繁星推薦一般考生,70~79分
410032045,CG,文學院,3,哲學系,86,B6C,繁星推薦一般考生,80~89分
410032057,CG,文學院,3,哲學系,83,B6C,繁星推薦一般考生,80~89分
410032069,CG,文學院,3,哲學系,74,B6C,繁星推薦一般考生,70~79分
410032071,CG,文學院,3,哲學系,85,B2D,申請入學學士班,80~89分
410032083,CG,文學院,3,哲學系,81,B2D,申請入學學士班,80~89分
410032095,CG,文學院,3,哲學系,88,B2D,申請入學學士班,80~89分
410032100,CG,文學院,3,哲學系,86,B2D,申請入學學士班,80~89分
410032112,CG,文學院,3,哲學系,84,B2D,申請入學學士班,80~89分
410032124,CG,文學院,3,哲學系,76,B2D,申請入學學士班,70~79分
410032136,CG,文學院,3,哲學系,86,B2D,申請入學學士班,80~89分
410032150,CG,文學院,3,哲學系,82,B2D,申請入學學士班,80~89分
410032162,CG,文學院,3,哲學系,79,B2D,申請入學學士班,70~79分
410032174,CG,文學院,3,哲學系,81,B2D,申請入學學士班,80~89分
410032186,CG,文學院,3,哲學系,69,B2D,申請入學學士班,60~69分
410032203,CG,文學院,3,哲學系,76,B2D,申請入學學士班,70~79分
410032215,CG,文學院,3,哲學系,71,B2D,申請入學學士班,70~79分
410032227,CG,文學院,3,哲學系,74,B2D,申請入學學士班,70~79分
410032239,CG,文學院,3,哲學系,78,B2D,申請入學學士班,70~79分
410032241,CG,文學院,3,哲學系,39,B2D,申請入學學士班,0~59分
410032253,CG,文學院,3,哲學系,82,B2D,申請入學學士班,80~89分
410032265,CG,文學院,3,哲學系,36,B2D,申請入學學士班,0~59分
410032277,CG,文學院,3,哲學系,76,B2D,申請入學學士班,70~79分
410032289,CG,文學院,3,哲學系,81,B2D,申請入學學士班,80~89分
410032291,CG,文學院,3,哲學系,79,B2D,申請入學學士班,70~79分
410032306,CG,文學院,3,哲學系,61,B2D,申請入學學士班,60~69分
410032318,CG,文學院,3,哲學系,74,B2D,申請入學學士班,70~79分
410032320,CG,文學院,3,哲學系,78,B2D,申請入學學士班,70~79分
410032344,CG,文學院,3,哲學系,71,B2E,申請入學原住民,70~79分
410032356,CG,文學院,3,哲學系,68,B2E,申請入學原住民,60~69分
410032368,CG,文學院,3,哲學系,75,B3A,分發入學僑生,70~79分
410032382,CG,文學院,3,哲學系,72,B3A,分發入學僑生,70~79分
410032394,CG,文學院,3,哲學系,71,B1D,學士班指考,70~79分
410032409,CG,文學院,3,哲學系,72,B1D,學士班指考,70~79分
410032411,CG,文學院,3,哲學系,64,B1D,學士班指考,60~69分
410032423,CG,文學院,3,哲學系,62,B1D,學士班指考,60~69分
410032447,CG,文學院,3,哲學系,69,B1D,學士班指考,60~69分
410032459,CG,文學院,3,哲學系,83,B1D,學士班指考,80~89分
410032461,CG,文學院,3,哲學系,43,B1D,學士班指考,0~59分
410032473,CG,文學院,3,哲學系,73,B1D,學士班指考,70~79分
410032485,CG,文學院,3,哲學系,60,B1D,學士班指考,60~69分
410032502,CG,文學院,3,哲學系,44,B1D,學士班指考,0~59分
410032514,CG,文學院,3,哲學系,71,B1D,學士班指考,70~79分
410032526,CG,文學院,3,哲學系,62,B1D,學士班指考,60~69分
410032538,CG,文學院,3,哲學系,61,B1D,學士班指考,60~69分
410032540,CG,文學院,3,哲學系,0,B1D,學士班指考,0~59分
410032552,CG,文學院,3,哲學系,74,B1D,學士班指考,70~79分
410032564,CG,文學院,3,哲學系,81,B1D,學士班指考,80~89分
410032576,CG,文學院,3,哲學系,66,B1D,學士班指考,60~69分
410032588,CG,文學院,3,哲學系,54,B1D,學士班指考,0~59分
410032590,CG,文學院,3,哲學系,74,B1D,學士班指考,70~79分
410032605,CG,文學院,3,哲學系,78,B1D,學士班指考,70~79分
410032617,CG,文學院,3,哲學系,88,B1D,學士班指考,80~89分
410032629,CG,文學院,3,哲學系,80,B1D,學士班指考,80~89分
410032631,CG,文學院,3,哲學系,70,B1D,學士班指考,70~79分
410040016,KG,教育學院,4,圖書資訊學系,88,B3A,分發入學僑生,80~89分
410040028,KG,教育學院,4,圖書資訊學系,89,B2A,申請入學僑生,80~89分
410040030,KG,教育學院,4,圖書資訊學系,86,B2A,申請入學僑生,80~89分
410040042,KG,教育學院,4,圖書資訊學系,86,B2A,申請入學僑生,80~89分
410040054,KG,教育學院,4,圖書資訊學系,79,B3A,分發入學僑生,70~79分
410040078,KG,教育學院,4,圖書資訊學系,83,B6C,繁星推薦一般考生,80~89分
410040080,KG,教育學院,4,圖書資訊學系,86,B6C,繁星推薦一般考生,80~89分
410040092,KG,教育學院,4,圖書資訊學系,85,B6C,繁星推薦一般考生,80~89分
410040107,KG,教育學院,4,圖書資訊學系,85,B6C,繁星推薦一般考生,80~89分
410040119,KG,教育學院,4,圖書資訊學系,85,B6C,繁星推薦一般考生,80~89分
410040121,KG,教育學院,4,圖書資訊學系,90,B6C,繁星推薦一般考生,90~100分
410040133,KG,教育學院,4,圖書資訊學系,82,B6C,繁星推薦一般考生,80~89分
410040145,KG,教育學院,4,圖書資訊學系,89,B6C,繁星推薦一般考生,80~89分
410040157,KG,教育學院,4,圖書資訊學系,68,B2D,申請入學學士班,60~69分
410040169,KG,教育學院,4,圖書資訊學系,80,B2D,申請入學學士班,80~89分
410040171,KG,教育學院,4,圖書資訊學系,85,B2D,申請入學學士班,80~89分
410040183,KG,教育學院,4,圖書資訊學系,84,B2D,申請入學學士班,80~89分
410040195,KG,教育學院,4,圖書資訊學系,89,B2D,申請入學學士班,80~89分
410040200,KG,教育學院,4,圖書資訊學系,86,B2D,申請入學學士班,80~89分
410040212,KG,教育學院,4,圖書資訊學系,78,B2D,申請入學學士班,70~79分
410040224,KG,教育學院,4,圖書資訊學系,88,B2D,申請入學學士班,80~89分
410040236,KG,教育學院,4,圖書資訊學系,76,B2D,申請入學學士班,70~79分
410040248,KG,教育學院,4,圖書資訊學系,90,B2D,申請入學學士班,90~100分
